master_project_id,master_project_name,timeline_id,tfnsw_project_id,project_name,project_group,estimated_value_code,delivery_type,stage_name,timing_status,start_quarter,end_quarter,start_quarter_index,end_quarter_index,fill_color_hex,source_page,source_shape_type,source_x0,source_x1
MASTER-0245,Nelson Bay Road Improvements,TLS-0021,TFNSW-0010,Nelson Bay Road Improvements,Hunter roads,$$$$,D&C,Construction procurement,To be confirmed,Q2 2028,Q4 2028,7,9,#F3AEA3,2,curve,344.45589158367056,419.5914439090224
MASTER-0245,Nelson Bay Road Improvements,TLS-0022,TFNSW-0010,Nelson Bay Road Improvements,Hunter roads,$$$$,D&C,Construction and commissioning,To be confirmed,Q1 2029,Q2 2030,10,15,#9C9DC5,2,curve,421.368294442987,574.6854349987725
MASTER-0248,Newcastle Link Road/Minmi Road intersection upgrade,TLS-0023,TFNSW-0011,Newcastle Link Road/Minmi Road intersection upgrade,Hunter roads,$$$,TBA,Concept design and/or environmental assessment,Confirmed,Q3 2026,Q3 2027,0,4,#20A8E1,2,curve,163.21675993530138,290.1349226470444
MASTER-0248,Newcastle Link Road/Minmi Road intersection upgrade,TLS-0024,TFNSW-0011,Newcastle Link Road/Minmi Road intersection upgrade,Hunter roads,$$$,TBA,Detailed or reference design procurement,To be confirmed,Q4 2027,Q4 2027,5,5,#FACEA4,2,curve,292.6732873412792,316.02622928023993
MASTER-0248,Newcastle Link Road/Minmi Road intersection upgrade,TLS-0025,TFNSW-0011,Newcastle Link Road/Minmi Road intersection upgrade,Hunter roads,$$$,TBA,Detailed or reference design,To be confirmed,Q1 2028,Q4 2028,6,9,#D0DDAD,2,curve,318.56457506247546,419.5914325810229
MASTER-0248,Newcastle Link Road/Minmi Road intersection upgrade,TLS-0026,TFNSW-0011,Newcastle Link Road/Minmi Road intersection upgrade,Hunter roads,$$$,TBA,Construction procurement,To be confirmed,Q1 2029,Q1 2030,10,14,#F3AEA3,2,curve,422.1298267472565,549.0479894589995
MASTER-0248,Newcastle Link Road/Minmi Road intersection upgrade,TLS-0027,TFNSW-0011,Newcastle Link Road/Minmi Road intersection upgrade,Hunter roads,$$$,TBA,Construction and commissioning,To be confirmed,Q2 2030,Q2 2030,15,15,#9C9DC5,2,curve,550.8248170489651,574.6854316387728
MASTER-0112,Thornton bridge duplication,TLS-0028,TFNSW-0012,Thornton bridge duplication,Hunter roads,$$,TBA,Project staging not yet available,Not available,Q3 2026,Q4 2028,0,9,#C3AAD2,2,curve,162.9629236098779,419.8452849384458
MASTER-0226,"Goonoo Goonoo Road widening, Tamworth",TLS-0029,TFNSW-0013,"Goonoo Goonoo Road widening, Tamworth",New England Highway,$$,TBA,Detailed or reference design,Confirmed,Q3 2026,Q4 2026,0,1,#7BAE27,2,curve,163.21675993530138,212.46100706745767
MASTER-0226,"Goonoo Goonoo Road widening, Tamworth",TLS-0030,TFNSW-0013,"Goonoo Goonoo Road widening, Tamworth",New England Highway,$$,TBA,Construction procurement,To be confirmed,Q1 2027,Q3 2028,2,8,#F3AEA3,2,curve,214.99936417769277,393.70013727582693
MASTER-0226,"Goonoo Goonoo Road widening, Tamworth",TLS-0031,TFNSW-0013,"Goonoo Goonoo Road widening, Tamworth",New England Highway,$$,TBA,Construction and commissioning,To be confirmed,Q1 2029,Q2 2030,10,15,#9C9DC5,2,curve,421.368294442987,574.6854349987725
MASTER-0235,Maitland Westbound Overpass,TLS-0032,TFNSW-0014,Maitland Westbound Overpass,New England Highway,TBA,TBA,Concept design and/or environmental assessment,Confirmed,Q3 2026,Q4 2027,0,5,#20A8E1,2,curve,163.21675993530138,316.0262278402399
MASTER-0235,Maitland Westbound Overpass,TLS-0033,TFNSW-0014,Maitland Westbound Overpass,New England Highway,TBA,TBA,Project staging not yet available,Not available,Q1 2028,Q2 2030,6,15,#C3AAD2,2,curve,318.31073873705196,575.1931000656198
MASTER-0243,Muswellbrook Bypass,TLS-0034,TFNSW-0015,Muswellbrook Bypass,New England Highway,$$$$,D&C,Construction procurement,Confirmed,Q3 2026,Q2 2027,0,3,#DD0030,2,curve,162.4552516310309,263.9897818004253
MASTER-0243,Muswellbrook Bypass,TLS-0035,TFNSW-0015,Muswellbrook Bypass,New England Highway,$$$$,D&C,Detailed or reference design,Confirmed,Q3 2027,Q3 2027,4,4,#7BAE27,2,curve,266.7819708200841,290.1349127590448
MASTER-0243,Muswellbrook Bypass,TLS-0036,TFNSW-0015,Muswellbrook Bypass,New England Highway,$$$$,D&C,Construction and commissioning,Confirmed,Q4 2027,Q2 2030,5,15,#173077,2,curve,291.9117646370093,574.6854311587726
MASTER-0270,Rocky Cut realignment,TLS-0037,TFNSW-0016,Rocky Cut realignment,New England Highway,$,TBA,Concept design and/or environmental assessment,Confirmed,Q3 2026,Q4 2026,0,1,#20A8E1,2,curve,163.21675993530138,212.46100706745767
MASTER-0197,Almond Street to M1 Princes Motorway,TLS-0038,TFNSW-0017,Almond Street to M1 Princes Motorway,Picton Road Upgrade Program,TBA,TBA,Concept design and/or environmental assessment,Confirmed,Q3 2027,Q2 2029,4,11,#20A8E1,2,curve,266.7819708200841,471.3740491114138
MASTER-0246,Nepean River to Almond Street,TLS-0039,TFNSW-0018,Nepean River to Almond Street,Picton Road Upgrade Program,$$$$$,TBA,Project staging not yet available,Not available,Q3 2026,Q2 2030,0,15,#C3AAD2,2,curve,162.9629236098779,575.1931160976192
MASTER-0206,Bulli Bypass,TLS-0040,TFNSW-0019,Bulli Bypass,Princes Highway,TBA,TBA,Project staging not yet available,Not available,Q3 2026,Q1 2029,0,10,#C3AAD2,3,curve,162.9629236098779,445.73659013164126
MASTER-0215,Dapto Ramps,TLS-0041,TFNSW-0020,Dapto Ramps,Princes Highway,TBA,TBA,Project staging not yet available,Not available,Q3 2026,Q1 2029,0,10,#C3AAD2,3,curve,162.9629236098779,445.73659013164126
MASTER-0232,Jervis Bay Road to Hawken Road,TLS-0042,TFNSW-0021,Jervis Bay Road to Hawken Road,Princes Highway,$$$$,D&C,Construction procurement,To be confirmed,Q3 2026,Q2 2027,0,3,#F3AEA3,3,curve,163.21675993530138,264.2436174538488
MASTER-0232,Jervis Bay Road to Hawken Road,TLS-0043,TFNSW-0021,Jervis Bay Road to Hawken Road,Princes Highway,$$$$,D&C,Detailed or reference design,To be confirmed,Q3 2027,Q1 2028,4,6,#D0DDAD,3,curve,266.7819708200841,341.91752314543595
MASTER-0232,Jervis Bay Road to Hawken Road,TLS-0044,TFNSW-0021,Jervis Bay Road to Hawken Road,Princes Highway,$$$$,D&C,Construction and commissioning,To be confirmed,Q2 2028,Q2 2030,7,15,#9C9DC5,3,curve,343.6943712794006,574.6854274147729
MASTER-0240,Milton/Ulladulla Bypass,TLS-0045,TFNSW-0022,Milton/Ulladulla Bypass,Princes Highway,$$$$$,D&C,Concept design and/or environmental assessment,Confirmed,Q3 2026,Q3 2026,0,0,#20A8E1,3,curve,163.21675993530138,186.56970187426208
MASTER-0240,Milton/Ulladulla Bypass,TLS-0046,TFNSW-0022,Milton/Ulladulla Bypass,Princes Highway,$$$$$,D&C,Construction procurement,To be confirmed,Q4 2026,Q4 2027,1,5,#F3AEA3,3,curve,189.1080620564971,316.02622476824007
MASTER-0240,Milton/Ulladulla Bypass,TLS-0047,TFNSW-0022,Milton/Ulladulla Bypass,Princes Highway,$$$$$,D&C,Detailed or reference design,To be confirmed,Q1 2028,Q3 2028,6,8,#D0DDAD,3,curve,318.56457506247546,393.7001273878273
MASTER-0240,Milton/Ulladulla Bypass,TLS-0048,TFNSW-0022,Milton/Ulladulla Bypass,Princes Highway,$$$$$,D&C,Construction and commissioning,To be confirmed,Q4 2028,Q2 2030,9,15,#9C9DC5,3,curve,395.4770331217896,574.6854788707707
MASTER-0241,Mount Ousley Safety and Reliability,TLS-0049,TFNSW-0023,Mount Ousley Safety and Reliability,Princes Highway,TBA,TBA,Project staging not yet available,Not available,Q3 2026,Q2 2030,0,15,#C3AAD2,3,curve,162.9629236098779,575.1931160976192
MASTER-0244,Narooma Bridge,TLS-0050,TFNSW-0024,Narooma bridge,Princes Highway,TBA,TBA,Project staging not yet available,Not available,Q3 2026,Q1 2029,0,10,#C3AAD2,3,curve,162.9629236098779,445.73659013164126
MASTER-0251,Nowra Bypass,TLS-0051,TFNSW-0025,Nowra Bypass,Princes Highway,TBA,TBA,Project staging not yet available,Not available,Q3 2026,Q1 2029,0,10,#C3AAD2,3,curve,162.9629236098779,445.73659013164126
MASTER-0203,Barton Highway upgrade - Stage 2,TLS-0052,TFNSW-0026,Barton Highway Upgrade - Stage 2,Regional NSW major road and bridge upgrades,$$$,TBA,Concept design and/or environmental assessment,Confirmed,Q3 2026,Q3 2027,0,4,#20A8E1,3,curve,163.21675993530138,290.1349226470444
MASTER-0203,Barton Highway upgrade - Stage 2,TLS-0053,TFNSW-0026,Barton Highway Upgrade - Stage 2,Regional NSW major road and bridge upgrades,$$$,TBA,Construction procurement,To be confirmed,Q4 2027,Q3 2029,5,12,#F3AEA3,3,curve,292.6732873412792,497.2653656326089
MASTER-0203,Barton Highway upgrade - Stage 2,TLS-0054,TFNSW-0026,Barton Highway Upgrade - Stage 2,Regional NSW major road and bridge upgrades,$$$,TBA,Construction and commissioning,To be confirmed,Q4 2029,Q2 2030,13,15,#9C9DC5,3,curve,499.042251206572,574.6854761827708
MASTER-0234,M1 Pacific Motorway Upgrade between Wahroonga and Beresfield,TLS-0055,TFNSW-0027,M1 Pacific Motorway Upgrade between Wahroonga and Beresfield,Regional NSW major road and bridge upgrades,TBA,TBA,Project staging not yet available,Not available,Q3 2026,Q2 2030,0,15,#C3AAD2,3,curve,162.9629236098779,575.1931160976192
MASTER-0271,"Murray River, Swan Hill bridge replacement",TLS-0056,TFNSW-0028,"Murray River, Swan Hill bridge replacement",Regional NSW major road and bridge upgrades,$$$,TBA,Concept design and/or environmental assessment,Confirmed,Q3 2026,Q3 2029,0,12,#20A8E1,3,curve,163.21675993530138,497.2653641926089
MASTER-0271,"Murray River, Swan Hill bridge replacement",TLS-0057,TFNSW-0028,"Murray River, Swan Hill bridge replacement",Regional NSW major road and bridge upgrades,$$$,TBA,Project staging not yet available,Not available,Q4 2029,Q2 2030,13,15,#C3AAD2,3,curve,499.54989918542,575.1931241616188
MASTER-0249,"Newell Highway, Tichborne grade separation for Inland Rail",TLS-0058,TFNSW-0029,"Newell Highway, Tichborne grade separation for Inland Rail",Regional NSW major road and bridge upgrades,TBA,TBA,Project staging not yet available,Not available,Q3 2026,Q1 2029,0,10,#C3AAD2,3,curve,162.9629236098779,445.73659013164126
MASTER-0250,"Newell Highway, improve flood mitigation between West Wyalong and Forbes",TLS-0059,TFNSW-0030,"Newell Highway, improve flood mitigation between West Wyalong and Forbes - July November",Regional NSW major road and bridge upgrades,$$$,TBA,Concept design and/or environmental assessment,Confirmed,Q3 2026,Q2 2027,0,3,#20A8E1,3,curve,163.21675993530138,264.2436174538488
MASTER-0250,"Newell Highway, improve flood mitigation between West Wyalong and Forbes",TLS-0060,TFNSW-0030,"Newell Highway, improve flood mitigation between West Wyalong and Forbes - July November",Regional NSW major road and bridge upgrades,$$$,TBA,Project staging not yet available,Not available,Q3 2027,Q1 2028,4,6,#C3AAD2,3,curve,266.5281344946606,342.17135947085944
MASTER-0250,"Newell Highway, improve flood mitigation between West Wyalong and Forbes",TLS-0061,TFNSW-0030,"Newell Highway, improve flood mitigation between West Wyalong and Forbes - July November",Regional NSW major road and bridge upgrades,$$$,TBA,Construction procurement,To be confirmed,Q2 2028,Q4 2028,7,9,#F3AEA3,3,curve,344.45589158367056,419.5914439090224
MASTER-0250,"Newell Highway, improve flood mitigation between West Wyalong and Forbes",TLS-0062,TFNSW-0030,"Newell Highway, improve flood mitigation between West Wyalong and Forbes - July November",Regional NSW major road and bridge upgrades,$$$,TBA,Construction and commissioning,To be confirmed,Q1 2029,Q2 2030,10,15,#9C9DC5,3,curve,421.368294442987,574.6854349987725
MASTER-0252,"Olympic Highway, Harris Gates grade separation for Inland Rail",TLS-0063,TFNSW-0031,"Olympic Highway, Harris Gates grade separation for Inland Rail",Regional NSW major road and bridge upgrades,TBA,TBA,Project staging not yet available,Not available,Q3 2026,Q1 2029,0,10,#C3AAD2,3,curve,162.9629236098779,445.73659013164126
MASTER-0068,"Pacific Highway, Harrington Road / Coopernook Road interchange",TLS-0064,TFNSW-0032,"Pacific Highway, Harrington Road / Coopernook Road interchange",Regional NSW major road and bridge upgrades,$$,CO,Construction procurement,Confirmed,Q3 2026,Q3 2027,0,4,#DD0030,3,curve,162.4552516310309,289.8810869936209
MASTER-0068,"Pacific Highway, Harrington Road / Coopernook Road interchange",TLS-0065,TFNSW-0032,"Pacific Highway, Harrington Road / Coopernook Road interchange",Regional NSW major road and bridge upgrades,$$,CO,Construction and commissioning,Confirmed,Q4 2027,Q1 2029,5,10,#173077,3,curve,291.9117646370093,445.22890519279485
MASTER-0254,"Pacific Highway, Raymond Terrace to Karuah intersection improvements",TLS-0066,TFNSW-0033,"Pacific Highway, Raymond Terrace to Karuah intersection improvements",Regional NSW major road and bridge upgrades,TBA,TBA,Project staging not yet available,Not available,Q3 2026,Q1 2029,0,10,#C3AAD2,3,curve,162.9629236098779,445.73659013164126
MASTER-0255,Picton Bypass,TLS-0067,TFNSW-0034,Picton Bypass,Regional NSW major road and bridge upgrades,$$$$$,TBA,Concept design and/or environmental assessment,Confirmed,Q3 2026,Q2 2027,0,3,#20A8E1,3,curve,163.21675993530138,264.2436174538488
MASTER-0255,Picton Bypass,TLS-0068,TFNSW-0034,Picton Bypass,Regional NSW major road and bridge upgrades,$$$$$,TBA,Project staging not yet available,Not available,Q3 2027,Q2 2030,4,15,#C3AAD2,3,curve,266.5281344946606,575.1931062096196
MASTER-0018,Regional Corridors Upgrade Program – Euston to Tocumwal,TLS-0069,TFNSW-0035,Regional Corridors Upgrade Program – Euston to Tocumwal,Regional NSW major road and bridge upgrades,$$$$,TBA,Project staging not yet available,Not available,Q3 2026,Q4 2028,0,9,#C3AAD2,3,curve,162.9629236098779,419.8452849384458
MASTER-0151,Regional Corridors Upgrade Program – Muswellbrook to Armidale,TLS-0070,TFNSW-0036,Regional Corridors Upgrade Program – Muswellbrook to Armidale,Regional NSW major road and bridge upgrades,TBA,TBA,Project staging not yet available,Not available,Q3 2026,Q1 2027,0,2,#C3AAD2,3,curve,162.9629236098779,238.6061485860767
MASTER-0174,Regional Corridors Upgrade Program – Newcastle to Dubbo,TLS-0071,TFNSW-0037,Regional Corridors Upgrade Program – Newcastle to Dubbo,Regional NSW major road and bridge upgrades,$$$$,TBA,Project staging not yet available,Not available,Q3 2026,Q4 2027,0,5,#C3AAD2,3,curve,162.9629236098779,316.2800641656635
MASTER-0258,"Sheahan Bridge Upgrade Northbound, Gundagai",TLS-0072,TFNSW-0038,"Sheahan Bridge Upgrade Northbound, Gundagai",Regional NSW major road and bridge upgrades,TBA,TBA,Concept design and/or environmental assessment,Confirmed,Q3 2026,Q4 2027,0,5,#20A8E1,3,curve,163.21675993530138,316.0262278402399
MASTER-0258,"Sheahan Bridge Upgrade Northbound, Gundagai",TLS-0073,TFNSW-0038,"Sheahan Bridge Upgrade Northbound, Gundagai",Regional NSW major road and bridge upgrades,TBA,TBA,Project staging not yet available,Not available,Q1 2028,Q2 2030,6,15,#C3AAD2,3,curve,318.31073873705196,575.1931000656198
MASTER-0259,Shellharbour Hospital access,TLS-0074,TFNSW-0039,Shellharbour Hospital access,Regional NSW major road and bridge upgrades,TBA,TBA,Project staging not yet available,Not available,Q3 2026,Q1 2029,0,10,#C3AAD2,3,curve,162.9629236098779,445.73659013164126
MASTER-0268,Wagga Wagga Freight Bypass,TLS-0075,TFNSW-0040,Wagga Wagga Freight Bypass,Regional NSW major road and bridge upgrades,TBA,TBA,Project staging not yet available,Not available,Q3 2026,Q2 2029,0,11,#C3AAD2,3,curve,162.9629236098779,471.6278953248369
MASTER-0103,Safe Accessible Transport,TLS-0076,TFNSW-0041,Safe Accessible Transport,Accessibility,$$$$$,Various,Rolling program,Confirmed,Q3 2026,Q1 2029,0,10,#33383D,4,curve,163.21675993530138,445.48275380621783
MASTER-0162,Woollahra Station Activation,TLS-0077,TFNSW-0042,Woollahra Station Activation,Accessibility,$$$,TBA,Project staging not yet available,Not available,Q3 2026,Q2 2029,0,11,#C3AAD2,4,curve,162.9629236098779,471.6278953248369
MASTER-0212,Central Precinct Renewal Program - Main Works,TLS-0078,TFNSW-0043,Central Precinct Renewal Program - Main Works,Eastern Harbour City,$$$$$,TBA,Project staging not yet available,Not available,Q3 2026,Q1 2029,0,10,#C3AAD2,4,curve,162.9629236098779,445.73659013164126
MASTER-0213,Circular Quay renewal,TLS-0079,TFNSW-0044,Circular Quay Renewal,Eastern Harbour City,TBA,TBA,Project staging not yet available,Not available,Q3 2026,Q1 2029,0,10,#C3AAD2,4,curve,162.9629236098779,445.73659013164126
MASTER-0208,Bus Service Improvement Program,TLS-0080,TFNSW-0045,Bus Service Improvement Program,Buses,$$$$$$,TBA,Project staging not yet available,Not available,Q3 2026,Q3 2029,0,12,#C3AAD2,4,curve,162.9629236098779,497.5192005180325
MASTER-0155,Macquarie Park Precinct and Bus Interchange,TLS-0081,TFNSW-0046,Macquarie Park Precinct and Bus Interchange,Buses,$$$,CO,Construction procurement,To be confirmed,Q3 2026,Q4 2026,0,1,#F3AEA3,4,curve,163.21675993530138,212.46100706745767
MASTER-0155,Macquarie Park Precinct and Bus Interchange,TLS-0082,TFNSW-0046,Macquarie Park Precinct and Bus Interchange,Buses,$$$,CO,Construction and commissioning,To be confirmed,Q1 2027,Q4 2029,2,13,#9C9DC5,4,curve,214.2378414734229,522.9028131883819
MASTER-0015,New Bus Services for Western Sydney,TLS-0083,TFNSW-0047,New Bus Services for Western Sydney,Buses,$$$$,Various,Detailed or reference design,Confirmed,Q3 2026,Q4 2026,0,1,#7BAE27,4,curve,163.21675993530138,212.46100706745767
MASTER-0015,New Bus Services for Western Sydney,TLS-0084,TFNSW-0047,New Bus Services for Western Sydney,Buses,$$$$,Various,Construction procurement,Confirmed,Q1 2027,Q2 2027,2,3,#DD0030,4,curve,214.2378414734229,263.98976125642616
MASTER-0015,New Bus Services for Western Sydney,TLS-0085,TFNSW-0047,New Bus Services for Western Sydney,Buses,$$$$,Various,Construction and commissioning,Confirmed,Q3 2027,Q2 2028,4,7,#173077,4,curve,266.020476915813,367.5550070852074
MASTER-0272,New Electric Bus Program Tranche 1,TLS-0086,TFNSW-0048,New Electric Bus Program Tranche 1,Buses,$$$$$$,Various,Rolling program,Confirmed,Q3 2026,Q1 2029,0,10,#33383D,4,curve,163.21675993530138,445.48275380621783
MASTER-0247,New Electric Bus Program - Tranche 2,TLS-0087,TFNSW-0049,New Electric Bus Program Tranche 2,Buses,$$$$$$,TBA,Concept design and/or environmental assessment,Confirmed,Q3 2026,Q3 2026,0,0,#20A8E1,4,curve,163.21675993530138,186.56970187426208
MASTER-0247,New Electric Bus Program - Tranche 2,TLS-0088,TFNSW-0049,New Electric Bus Program Tranche 2,Buses,$$$$$$,TBA,Project staging not yet available,Not available,Q4 2026,Q1 2029,1,10,#C3AAD2,4,curve,188.8542257310736,445.7365870596414
MASTER-0106,Sydney Fish Markets Ferry Wharf,TLS-0089,TFNSW-0050,Sydney Fish Markets Ferry Wharf,Eastern Harbour City,$,MC,Detailed or reference design,Confirmed,Q3 2026,Q3 2026,0,0,#7BAE27,4,curve,163.21675993530138,186.56970187426208
MASTER-0106,Sydney Fish Markets Ferry Wharf,TLS-0090,TFNSW-0050,Sydney Fish Markets Ferry Wharf,Eastern Harbour City,$,MC,Construction and commissioning,To be confirmed,Q4 2026,Q2 2027,1,3,#9C9DC5,4,curve,188.34655375222655,263.9897787284254
MASTER-0101,Parramatta Light Rail Stage 2 Main Works,TLS-0091,TFNSW-0051,Parramatta Light Rail Stage 2 Main Works,Light Rail,$$$$$$,D&C,Construction procurement,Confirmed,Q3 2026,Q4 2026,0,1,#DD0030,4,curve,162.4552516310309,212.20717141403415
MASTER-0101,Parramatta Light Rail Stage 2 Main Works,TLS-0092,TFNSW-0051,Parramatta Light Rail Stage 2 Main Works,Light Rail,$$$$$$,D&C,Construction and commissioning,To be confirmed,Q1 2027,Q2 2030,2,15,#9C9DC5,4,curve,214.2378414734229,574.685423574773
MASTER-0260,South West Sydney Rail Extensions Final Business Case,TLS-0093,TFNSW-0052,South West Sydney Rail Extensions Final Business Case,Rail,$$$$$$,TBA,Concept design and/or environmental assessment,To be confirmed,Q3 2026,Q3 2027,0,4,#BFDCF5,5,curve,163.21675993530138,290.1349226470444
MASTER-0260,South West Sydney Rail Extensions Final Business Case,TLS-0094,TFNSW-0052,South West Sydney Rail Extensions Final Business Case,Rail,$$$$$$,TBA,Project staging not yet available,Not available,Q4 2027,Q2 2030,5,15,#C3AAD2,5,curve,292.4194510158557,575.1931175376192
MASTER-0266,Sydney to Canberra Rail Corridor Upgrade,TLS-0095,TFNSW-0053,Sydney to Canberra Rail Corridor Upgrade,Rail,TBA,TBA,Project staging not yet available,Not available,Q3 2026,Q2 2030,0,15,#C3AAD2,5,curve,162.9629236098779,575.1931160976192
MASTER-0139,Western Sydney Freight Line and Intermodal Terminal  - Stage 1 Full Business Case,TLS-0096,TFNSW-0054,Western Sydney Freight Line and Intermodal Terminal - Stage 1 Full Business Case,Rail,$$$$$$,TBA,Concept design and/or environmental assessment,To be confirmed,Q3 2026,Q4 2027,0,5,#BFDCF5,5,curve,163.21675993530138,316.0262278402399
MASTER-0139,Western Sydney Freight Line and Intermodal Terminal  - Stage 1 Full Business Case,TLS-0097,TFNSW-0054,Western Sydney Freight Line and Intermodal Terminal - Stage 1 Full Business Case,Rail,$$$$$$,TBA,Project staging not yet available,Not available,Q1 2028,Q1 2029,6,10,#C3AAD2,5,curve,318.31073873705196,445.7365740996419
