master_project_id,master_project_name,snapshot_id,project_id,project_match_key,budget_year,project_name,agency,agency_group,government_sector,work_category,delivery_status,program_group,location,start_period,start_year,start_disclosed,completion_period,completion_year,completion_disclosed,estimated_total_cost_000,total_cost_disclosed,estimated_expenditure_to_june_000,expenditure_disclosed,annual_allocation_000,allocation_disclosed,source_file,source_page,source_row_top
MASTER-0001,"Heathcote Road, The Avenue to Princes Highway",BUD-0068923BF1-2024-25,BUD-0068923BF1,Transport for NSW|heathcote road the avenue to princes highway planning,2024-25,Heathcote Road - The Avenue to Princes Highway (Planning),Transport for NSW,Transport for NSW,general_government,Major Works,Works in Progress,Connecting Sydney Roads,Various,n.a.,,False,n.a.,,False,,False,4006,True,2500,True,bp3-infrastructure-statement-2024-25.pdf,142,254.602
MASTER-0007,Western Sydney Long Term Strategic Transport Corridor Preservation,BUD-08E4363424-2026-27,BUD-08E4363424,Transport for NSW|western sydney long term strategic transport corridor preservation,2026-27,Western Sydney Long Term Strategic Transport Corridor Preservation,Transport for NSW,Transport for NSW,general_government,Major Works,Works in Progress,Connecting Sydney Roads,Various,n.a.,,False,n.a.,,False,,False,165073,True,2000,True,bp3-infrastructure-statement-nsw-budget-2026-27.pdf,151,253.5949999999999
MASTER-0008,Western Sydney International Airport Wayfinding,BUD-09B3DC18E4-2025-26,BUD-09B3DC18E4,Transport for NSW|western sydney international airport wayfinding,2025-26,Western Sydney International Airport Wayfinding,Transport for NSW,Transport for NSW,general_government,Major Works,Works in Progress,Other Major Programs,Various,n.a.,,False,n.a.,,False,,False,,False,30000,True,bp3-infrastructure-statement-nsw-budget-2025-26.pdf,156,472.592
MASTER-0008,Western Sydney International Airport Wayfinding,BUD-09B3DC18E4-2026-27,BUD-09B3DC18E4,Transport for NSW|western sydney international airport wayfinding,2026-27,Western Sydney International Airport Wayfinding,Transport for NSW,Transport for NSW,general_government,Major Works,Works in Progress,Other Major Programs,Various,n.a.,,False,n.a.,,False,,False,2810,True,4600,True,bp3-infrastructure-statement-nsw-budget-2026-27.pdf,153,248.55499999999995
MASTER-0009,Princes Highway Corridor (NSW) - Jervis Bay to Sussex Inlet Road Upgrade Stage 1 (State and Federal Funded),BUD-0EA71AF980-2024-25,BUD-0EA71AF980,Transport for NSW|princes highway corridor nsw jervis bay to sussex inlet road upgrade stage 1 state and federal funded,2024-25,Princes Highway Corridor (NSW) - Jervis Bay to Sussex Inlet Road Upgrade Stage 1 (State and Federal Funded),Transport for NSW,Transport for NSW,general_government,Major Works,Works in Progress,Princes Corridor,Jervis Bay,n.a.,,False,n.a.,,False,,False,22237,True,4198,True,bp3-infrastructure-statement-2024-25.pdf,146,178.26199999999994
MASTER-0010,Eastern Ring Road and Badgerys Creek Road (South) - Elizabeth Drive to The Northern Road,BUD-0EC61A064E-2024-25,BUD-0EC61A064E,Transport for NSW|eastern ring road and badgerys creek road south planning state and federal funded,2024-25,Eastern Ring Road and Badgerys Creek Road South - Planning (State and Federal Funded),Transport for NSW,Transport for NSW,general_government,Major Works,Works in Progress,Other Major Programs,Various,n.a.,,False,n.a.,,False,,False,,False,6000,True,bp3-infrastructure-statement-2024-25.pdf,144,664.6419999999999
MASTER-0010,Eastern Ring Road and Badgerys Creek Road (South) - Elizabeth Drive to The Northern Road,BUD-0EC61A064E-2025-26,BUD-0EC61A064E,Transport for NSW|eastern ring road and badgerys creek road south planning state and federal funded,2025-26,Eastern Ring Road and Badgerys Creek Road South (Planning) (State and Federal Funded),Transport for NSW,Transport for NSW,general_government,Major Works,Works in Progress,Other Major Programs,Various,n.a.,,False,n.a.,,False,,False,350,True,3600,True,bp3-infrastructure-statement-nsw-budget-2025-26.pdf,155,630.5619999999999
MASTER-0010,Eastern Ring Road and Badgerys Creek Road (South) - Elizabeth Drive to The Northern Road,BUD-0EC61A064E-2026-27,BUD-0EC61A064E,Transport for NSW|eastern ring road and badgerys creek road south planning state and federal funded,2026-27,Eastern Ring Road and Badgerys Creek Road South (Planning) (State and Federal Funded),Transport for NSW,Transport for NSW,general_government,Major Works,Works in Progress,Other Major Programs,Various,n.a.,,False,n.a.,,False,,False,2687,True,5444,True,bp3-infrastructure-statement-nsw-budget-2026-27.pdf,152,425.81499999999994
MASTER-0011,"Lease Acquisition between $250,000 and $20 million(a)",BUD-0EEE412074-2024-25,BUD-0EEE412074,NSW Trains|lease acquisition between 250 000 and 20 million,2024-25,"Lease Acquisition between $250,000 and $20 million(a)",NSW Trains,NSW Trains,public_non_financial_corporation,Leases,,,Various,n.a.,,False,n.a.,,False,,False,,False,223,True,bp3-infrastructure-statement-2024-25.pdf,156,145.86199999999997
MASTER-0011,"Lease Acquisition between $250,000 and $20 million(a)",BUD-0EEE412074-2025-26,BUD-0EEE412074,NSW Trains|lease acquisition between 250 000 and 20 million,2025-26,"Lease Acquisition between $250,000 and $20 million(a)",NSW Trains,NSW Trains,public_non_financial_corporation,Leases,,,Various,n.a.,,False,n.a.,,False,,False,,False,23,True,bp3-infrastructure-statement-nsw-budget-2025-26.pdf,169,321.11199999999997
MASTER-0011,"Lease Acquisition between $250,000 and $20 million(a)",BUD-0EEE412074-2026-27,BUD-0EEE412074,NSW Trains|lease acquisition between 250 000 and 20 million,2026-27,"Lease Acquisition between $250,000 and $20 million(a)",NSW Trains,NSW Trains,public_non_financial_corporation,Leases,,,Various,n.a.,,False,n.a.,,False,,False,,False,38997,True,bp3-infrastructure-statement-nsw-budget-2026-27.pdf,165,313.5949999999999
MASTER-0012,Sheahan Bridge Upgrade (Planning) (State and Federal Funded),BUD-108031018C-2024-25,BUD-108031018C,Transport for NSW|sheahan bridge upgrade planning state and federal funded,2024-25,Sheahan Bridge Upgrade (Planning) (State and Federal Funded),Transport for NSW,Transport for NSW,general_government,Major Works,Works in Progress,Hume Corridor,Gundagai,n.a.,,False,n.a.,,False,,False,1567,True,2880,True,bp3-infrastructure-statement-2024-25.pdf,143,669.9219999999999
MASTER-0012,Sheahan Bridge Upgrade (Planning) (State and Federal Funded),BUD-108031018C-2025-26,BUD-108031018C,Transport for NSW|sheahan bridge upgrade planning state and federal funded,2025-26,Sheahan Bridge Upgrade (Planning) (State and Federal Funded),Transport for NSW,Transport for NSW,general_government,Major Works,Works in Progress,Hume Corridor,Gundagai,n.a.,,False,n.a.,,False,,False,3703,True,3290,True,bp3-infrastructure-statement-nsw-budget-2025-26.pdf,154,765.492
MASTER-0012,Sheahan Bridge Upgrade (Planning) (State and Federal Funded),BUD-108031018C-2026-27,BUD-108031018C,Transport for NSW|sheahan bridge upgrade planning state and federal funded,2026-27,Sheahan Bridge Upgrade (Planning) (State and Federal Funded),Transport for NSW,Transport for NSW,general_government,Major Works,Works in Progress,Hume Corridor,Gundagai,n.a.,,False,n.a.,,False,,False,8973,True,1797,True,bp3-infrastructure-statement-nsw-budget-2026-27.pdf,151,509.2149999999999
MASTER-0013,Francis Road Railway Overpass Widening at Rooty Hill,BUD-11D757DAAB-2025-26,BUD-11D757DAAB,Transport for NSW|francis road rail overpass at rooty hill planning,2025-26,Francis Road Rail Overpass at Rooty Hill (Planning),Transport for NSW,Transport for NSW,general_government,Major Works,Works in Progress,Connecting Sydney Roads,Rooty Hill,n.a.,,False,n.a.,,False,,False,,False,3500,True,bp3-infrastructure-statement-nsw-budget-2025-26.pdf,153,382.572
MASTER-0013,Francis Road Railway Overpass Widening at Rooty Hill,BUD-11D757DAAB-2026-27,BUD-11D757DAAB,Transport for NSW|francis road rail overpass at rooty hill planning,2026-27,Francis Road Rail Overpass at Rooty Hill (Planning),Transport for NSW,Transport for NSW,general_government,Major Works,Works in Progress,Connecting Sydney Roads,Rooty Hill,n.a.,,False,n.a.,,False,,False,1756,True,1744,True,bp3-infrastructure-statement-nsw-budget-2026-27.pdf,150,290.31499999999994
MASTER-0014,Devonshire Link Road and Bradfield Metro Link Road (Planning) (State and Federal Funded),BUD-11D8E6866A-2025-26,BUD-11D8E6866A,Transport for NSW|devonshire link road and bradfield metro link road planning state and federal funded,2025-26,Devonshire Link Road and Bradfield Metro Link Road (Planning) (State and Federal Funded),Transport for NSW,Transport for NSW,general_government,Major Works,Works in Progress,Connecting Sydney Roads,Kemps Creek,n.a.,,False,n.a.,,False,,False,,False,3000,True,bp3-infrastructure-statement-nsw-budget-2025-26.pdf,153,254.36199999999997
MASTER-0014,Devonshire Link Road and Bradfield Metro Link Road (Planning) (State and Federal Funded),BUD-11D8E6866A-2026-27,BUD-11D8E6866A,Transport for NSW|devonshire link road and bradfield metro link road planning state and federal funded,2026-27,Devonshire Link Road and Bradfield Metro Link Road (Planning) (State and Federal Funded),Transport for NSW,Transport for NSW,general_government,Major Works,Works in Progress,Connecting Sydney Roads,Kemps Creek,n.a.,,False,n.a.,,False,,False,1636,True,7000,True,bp3-infrastructure-statement-nsw-budget-2026-27.pdf,150,127.80499999999996
MASTER-0015,New Bus Services for Western Sydney,BUD-1308623375-2024-25,BUD-1308623375,Transport for NSW|new bus services for western sydney state and federal funded,2024-25,New Bus Services for Western Sydney (State and Federal Funded),Transport for NSW,Transport for NSW,general_government,Major Works,Works in Progress,Other Major Programs,Various,n.a.,,False,n.a.,,False,,False,20183,True,39217,True,bp3-infrastructure-statement-2024-25.pdf,145,156.90199999999993
MASTER-0015,New Bus Services for Western Sydney,BUD-1308623375-2025-26,BUD-1308623375,Transport for NSW|new bus services for western sydney state and federal funded,2025-26,New Bus Services for Western Sydney (State and Federal Funded),Transport for NSW,Transport for NSW,general_government,Major Works,Works in Progress,Other Major Programs,Various,n.a.,,False,n.a.,,False,,False,38460,True,44995,True,bp3-infrastructure-statement-nsw-budget-2025-26.pdf,155,730.192
MASTER-0015,New Bus Services for Western Sydney,BUD-1308623375-2026-27,BUD-1308623375,Transport for NSW|new bus services for western sydney state and federal funded,2026-27,New Bus Services for Western Sydney (State and Federal Funded),Transport for NSW,Transport for NSW,general_government,Major Works,Works in Progress,Other Major Programs,Various,n.a.,,False,n.a.,,False,,False,111779,True,35374,True,bp3-infrastructure-statement-nsw-budget-2026-27.pdf,152,525.4449999999999
MASTER-0016,"Lease Acquisition between $250,000 and $20 million(a)",BUD-142F883609-2024-25,BUD-142F883609,Sydney Trains|lease acquisition between 250 000 and 20 million,2024-25,"Lease Acquisition between $250,000 and $20 million(a)",Sydney Trains,Sydney Trains,public_non_financial_corporation,Leases,,,Various,n.a.,,False,n.a.,,False,,False,,False,6923,True,bp3-infrastructure-statement-2024-25.pdf,155,615.202
MASTER-0016,"Lease Acquisition between $250,000 and $20 million(a)",BUD-142F883609-2025-26,BUD-142F883609,Sydney Trains|lease acquisition between 250 000 and 20 million,2025-26,"Lease Acquisition between $250,000 and $20 million(a)",Sydney Trains,Sydney Trains,public_non_financial_corporation,Leases,,,Various,n.a.,,False,n.a.,,False,,False,,False,12660,True,bp3-infrastructure-statement-nsw-budget-2025-26.pdf,169,149.702
MASTER-0016,"Lease Acquisition between $250,000 and $20 million(a)",BUD-142F883609-2026-27,BUD-142F883609,Sydney Trains|lease acquisition between 250 000 and 20 million,2026-27,"Lease Acquisition between $250,000 and $20 million(a)",Sydney Trains,Sydney Trains,public_non_financial_corporation,Leases,,,Various,n.a.,,False,n.a.,,False,,False,,False,18899,True,bp3-infrastructure-statement-nsw-budget-2026-27.pdf,165,146.765
MASTER-0017,Princes Highway Corridor - Milton Ulladulla Bypass (State and Federal Funded),BUD-162C3A2891-2024-25,BUD-162C3A2891,Transport for NSW|princes highway corridor milton ulladulla bypass state and federal funded,2024-25,Princes Highway Corridor - Milton Ulladulla Bypass (State and Federal Funded),Transport for NSW,Transport for NSW,general_government,Major Works,Works in Progress,Princes Corridor,Milton,n.a.,,False,n.a.,,False,,False,25451,True,7716,True,bp3-infrastructure-statement-2024-25.pdf,146,225.562
MASTER-0017,Princes Highway Corridor - Milton Ulladulla Bypass (State and Federal Funded),BUD-162C3A2891-2025-26,BUD-162C3A2891,Transport for NSW|princes highway corridor milton ulladulla bypass state and federal funded,2025-26,Princes Highway Corridor - Milton Ulladulla Bypass (State and Federal Funded),Transport for NSW,Transport for NSW,general_government,Major Works,Works in Progress,Princes Corridor,Milton,n.a.,,False,n.a.,,False,,False,43007,True,13479,True,bp3-infrastructure-statement-nsw-budget-2025-26.pdf,157,226.5219999999999
MASTER-0018,Regional Corridors Upgrade Program – Euston to Tocumwal,BUD-18CFA60B01-2026-27,BUD-18CFA60B01,Transport for NSW|regional corridors upgrade program euston to tocumwal,2026-27,Regional Corridors Upgrade Program - Euston to Tocumwal (d),Transport for NSW,Transport for NSW,general_government,Major Works,Works in Progress,Regional Corridors Upgrade Program,Various,n.a.,,False,n.a.,,False,,False,,False,120000,True,bp3-infrastructure-statement-nsw-budget-2026-27.pdf,153,725.145
MASTER-0019,Princes Highway Corridor (NSW) - Jervis Bay Road to Hawken Road (State and Federal Funded),BUD-19CC4BAA16-2025-26,BUD-19CC4BAA16,Transport for NSW|princes highway corridor nsw jervis bay road to hawken road state and federal funded,2025-26,Princes Highway Corridor (NSW) - Jervis Bay Road to Hawken Road (State and Federal Funded),Transport for NSW,Transport for NSW,general_government,Major Works,Works in Progress,Princes Corridor,Jervis Bay,n.a.,,False,n.a.,,False,,False,47260,True,6864,True,bp3-infrastructure-statement-nsw-budget-2025-26.pdf,157,179.22199999999998
MASTER-0019,Princes Highway Corridor (NSW) - Jervis Bay Road to Hawken Road (State and Federal Funded),BUD-19CC4BAA16-2026-27,BUD-19CC4BAA16,Transport for NSW|princes highway corridor nsw jervis bay road to hawken road state and federal funded,2026-27,Princes Highway Corridor (NSW) - Jervis Bay Road to Hawken Road (State and Federal Funded),Transport for NSW,Transport for NSW,general_government,Major Works,Works in Progress,Princes Corridor,Jervis Bay,n.a.,,False,n.a.,,False,,False,56422,True,14519,True,bp3-infrastructure-statement-nsw-budget-2026-27.pdf,153,567.685
MASTER-0020,"Pacific Highway, Wyong Town Centre",BUD-1B446EF3E4-2024-25,BUD-1B446EF3E4,Transport for NSW|pacific highway wyong town centre state and federal funded,2024-25,"Pacific Highway, Wyong Town Centre (State and Federal Funded)",Transport for NSW,Transport for NSW,general_government,Major Works,Works in Progress,Connecting Central Coast Roads,Wyong,n.a.,,False,n.a.,,False,,False,42171,True,5600,True,bp3-infrastructure-statement-2024-25.pdf,141,211.6419999999999
MASTER-0020,"Pacific Highway, Wyong Town Centre",BUD-1B446EF3E4-2025-26,BUD-1B446EF3E4,Transport for NSW|pacific highway wyong town centre state and federal funded,2025-26,"Pacific Highway, Wyong Town Centre (State and Federal Funded)",Transport for NSW,Transport for NSW,general_government,Major Works,Works in Progress,Connecting Central Coast Roads,Wyong,n.a.,,False,n.a.,,False,,False,48280,True,8100,True,bp3-infrastructure-statement-nsw-budget-2025-26.pdf,152,248.602
MASTER-0020,"Pacific Highway, Wyong Town Centre",BUD-1B446EF3E4-2026-27,BUD-1B446EF3E4,Transport for NSW|pacific highway wyong town centre state and federal funded,2026-27,"Pacific Highway, Wyong Town Centre (State and Federal Funded)",Transport for NSW,Transport for NSW,general_government,Major Works,Works in Progress,Connecting Central Coast Roads,Wyong,n.a.,,False,n.a.,,False,,False,62755,True,117744,True,bp3-infrastructure-statement-nsw-budget-2026-27.pdf,149,267.8749999999999
MASTER-0021,Mamre Road - Erskine Park Road to Kerrs Road (State and Federal Funded),BUD-1B5414E81E-2024-25,BUD-1B5414E81E,Transport for NSW|mamre road erskine park road to kerrs road state and federal funded,2024-25,Mamre Road - Erskine Park Road to Kerrs Road (State and Federal Funded),Transport for NSW,Transport for NSW,general_government,Major Works,Works in Progress,Connecting Sydney Roads,Kemps Creek,n.a.,,False,n.a.,,False,,False,4478,True,23617,True,bp3-infrastructure-statement-2024-25.pdf,142,443.3119999999999
MASTER-0022,"Prospect Highway, Reservoir Road to St Martins Crescent (State and Federal Funded)",BUD-1B82A8C537-2024-25,BUD-1B82A8C537,Transport for NSW|prospect highway reservoir road to st martins crescent state and federal funded,2024-25,"Prospect Highway, Reservoir Road to St Martins Crescent (State and Federal Funded)",Transport for NSW,Transport for NSW,general_government,Major Works,Works in Progress,Connecting Sydney Roads,Prospect,n.a.,,False,2025,2025,True,280000,True,226247,True,20001,True,bp3-infrastructure-statement-2024-25.pdf,142,726.592
MASTER-0023,Sydney Metro City and Southwest(b),BUD-1CA427DAF9-2024-25,BUD-1CA427DAF9,Sydney Metro|sydney metro city and southwest,2024-25,Sydney Metro City and Southwest(b),Sydney Metro,Sydney Metro,general_government,Major Works,Works in Progress,,Chatswood - Bankstown,2014,2014,True,2025,2025,True,,False,17547870,True,1096840,True,bp3-infrastructure-statement-2024-25.pdf,148,281.27199999999993
MASTER-0023,Sydney Metro City and Southwest(b),BUD-1CA427DAF9-2025-26,BUD-1CA427DAF9,Sydney Metro|sydney metro city and southwest,2025-26,Sydney Metro City and Southwest(b),Sydney Metro,Sydney Metro,general_government,Major Works,Works in Progress,,Chatswood - Bankstown,2014,2014,True,2026,2026,True,,False,17963687,True,797403,True,bp3-infrastructure-statement-nsw-budget-2025-26.pdf,159,200.36199999999997
MASTER-0023,Sydney Metro City and Southwest(b),BUD-1CA427DAF9-2026-27,BUD-1CA427DAF9,Sydney Metro|sydney metro city and southwest,2026-27,Sydney Metro City and Southwest(b),Sydney Metro,Sydney Metro,general_government,Major Works,Works in Progress,,Chatswood - Bankstown,2014,2014,True,2026,2026,True,22331000,True,18535158,True,834200,True,bp3-infrastructure-statement-nsw-budget-2026-27.pdf,155,340.7149999999999
MASTER-0024,Bandon Road Corridor Upgrade and Extension (Planning) (State and Federal Funded)(d),BUD-1CBFC0787B-2025-26,BUD-1CBFC0787B,Transport for NSW|bandon road corridor upgrade and extension planning state and federal funded,2025-26,Bandon Road Corridor Upgrade and Extension (Planning) (State and Federal Funded)(d),Transport for NSW,Transport for NSW,general_government,Major Works,Works in Progress,Connecting Sydney Roads,Various,n.a.,,False,n.a.,,False,,False,8036,True,8000,True,bp3-infrastructure-statement-nsw-budget-2025-26.pdf,153,217.6419999999999
MASTER-0025,"King Georges Road, Stoney Creek Road to Connells Point Road - Stage 1 and 2A (State and Federal Funded)",BUD-1EA45D850D-2025-26,BUD-1EA45D850D,Transport for NSW|king georges road stoney creek road to connells point road stage 1 and 2a state and federal funded,2025-26,"King Georges Road, Stoney Creek Road to Connells Point Road - Stage 1 and 2A (State and Federal Funded)",Transport for NSW,Transport for NSW,general_government,Major Works,Works in Progress,Connecting Sydney Roads,Penshurst,n.a.,,False,2026,2026,True,219000,True,149681,True,24345,True,bp3-infrastructure-statement-nsw-budget-2025-26.pdf,153,576.3019999999999
MASTER-0026,"Minmi Road and Newcastle Link Road, Edgeworth",BUD-1FCC4A8462-2024-25,BUD-1FCC4A8462,Transport for NSW|minmi road and newcastle link road edgeworth,2024-25,"Minmi Road and Newcastle Link Road, Edgeworth",Transport for NSW,Transport for NSW,general_government,Major Works,Works in Progress,Connecting Regional NSW (Roads and Bridges),Edgeworth,n.a.,,False,n.a.,,False,,False,1539,True,1100,True,bp3-infrastructure-statement-2024-25.pdf,141,688.6719999999999
MASTER-0027,"Great Western Highway, Medlow Bath (State and Federal Funded)",BUD-2559AC5020-2024-25,BUD-2559AC5020,Transport for NSW|great western highway medlow bath state and federal funded,2024-25,"Great Western Highway, Medlow Bath (State and Federal Funded)",Transport for NSW,Transport for NSW,general_government,Major Works,Works in Progress,Great Western Highway and Bells Line of Road,Katoomba,n.a.,,False,2025,2025,True,176600,True,,False,76689,True,bp3-infrastructure-statement-2024-25.pdf,143,554.702
MASTER-0027,"Great Western Highway, Medlow Bath (State and Federal Funded)",BUD-2559AC5020-2025-26,BUD-2559AC5020,Transport for NSW|great western highway medlow bath state and federal funded,2025-26,"Great Western Highway, Medlow Bath (State and Federal Funded)",Transport for NSW,Transport for NSW,general_government,Major Works,Works in Progress,Great Western Highway and Bells Line of Road,Medlow Bath,n.a.,,False,2025,2025,True,193700,True,,False,7587,True,bp3-infrastructure-statement-nsw-budget-2025-26.pdf,154,647.842
MASTER-0028,Western Distributor Smart Motorway (State and Federal Funded),BUD-262FF355DB-2024-25,BUD-262FF355DB,Transport for NSW|western distributor smart motorway state and federal funded,2024-25,Western Distributor Smart Motorway (State and Federal Funded),Transport for NSW,Transport for NSW,general_government,Major Works,Works in Progress,Sydney Motorways,Various,n.a.,,False,2024,2024,True,,False,107910,True,18248,True,bp3-infrastructure-statement-2024-25.pdf,146,625.2819999999999
MASTER-0029,Traffic Lights at Bank Street,BUD-29068BD298-2024-25,BUD-29068BD298,Transport for NSW|traffic lights at bank street,2024-25,Traffic Lights at Bank Street,Transport for NSW,Transport for NSW,general_government,Major Works,Works in Progress,Urban Roads Fund,Meadowbank,n.a.,,False,n.a.,,False,,False,500,True,3500,True,bp3-infrastructure-statement-2024-25.pdf,147,251.24199999999996
MASTER-0029,Traffic Lights at Bank Street,BUD-29068BD298-2025-26,BUD-29068BD298,Transport for NSW|traffic lights at bank street,2025-26,Traffic Lights at Bank Street,Transport for NSW,Transport for NSW,general_government,Major Works,Works in Progress,Urban Roads Fund,Meadowbank,n.a.,,False,n.a.,,False,,False,500,True,1750,True,bp3-infrastructure-statement-nsw-budget-2025-26.pdf,158,184.26199999999992
MASTER-0029,Traffic Lights at Bank Street,BUD-29068BD298-2026-27,BUD-29068BD298,Transport for NSW|traffic lights at bank street,2026-27,Traffic Lights at Bank Street,Transport for NSW,Transport for NSW,general_government,Major Works,Works in Progress,Urban Roads Fund,Meadowbank,n.a.,,False,n.a.,,False,,False,2109,True,1891,True,bp3-infrastructure-statement-nsw-budget-2026-27.pdf,154,662.9649999999999
MASTER-0030,"Hargraves Lane and Federation St Upgrade, Gilgandra (Heavy Vehicle bypass) (State and Federal Funded)",BUD-2BD8B456AF-2024-25,BUD-2BD8B456AF,Transport for NSW|hargraves lane and federation st upgrade gilgandra heavy vehicle bypass state and federal funded,2024-25,"Hargraves Lane and Federation St Upgrade, Gilgandra (Heavy Vehicle bypass) (State and Federal Funded)",Transport for NSW,Transport for NSW,general_government,Major Works,Works in Progress,Connecting Regional NSW (Roads and Bridges),Gilgandra,n.a.,,False,n.a.,,False,,False,1122,True,800,True,bp3-infrastructure-statement-2024-25.pdf,141,562.862
